"Parent1","Parent2","Yield_param.df.Par1","Yield_param.df.Par2","Yield_param.df.midPar.Pheno","Yield_param.df.midPar.GEBV","Yield_param.df.pred.mu","Yield_param.df.pred.mu_sd","Yield_param.df.pred.varG","Yield_param.df.pred.varG_sd","Yield_param.df.mu.sp_low","Yield_param.df.mu.sp_high","Yield_param.df.low.resp_DON","Yield_param.df.high.resp_DON","Yield_param.df.cor_w._DON","DON_param.df.Par1","DON_param.df.Par2","DON_param.df.midPar.Pheno","DON_param.df.midPar.GEBV","DON_param.df.pred.mu","DON_param.df.pred.mu_sd","DON_param.df.pred.varG","DON_param.df.pred.varG_sd","DON_param.df.mu.sp_low","DON_param.df.mu.sp_high","DON_param.df.low.resp_Yield","DON_param.df.high.resp_Yield","DON_param.df.cor_w._Yield"
"GA001","GA002","GA001","GA002",NA,67.6,67.55,0.17,3.82,0.41,64.08,70.9,8.12,8.56,0.09,"GA001","GA002",NA,8.44,8.42,0.1,1.63,0.15,6.22,10.63,67.13,67.75,0.09
"GA001","GA159","GA001","GA159",NA,68.88,68.9,0.15,4.72,0.4,65.11,72.67,14.08,13.69,-0.1,"GA001","GA159",NA,13.87,13.86,0.09,1.26,0.13,11.93,15.79,69.18,68.62,-0.1
"GA001","GA164","GA001","GA164",NA,68.18,68.21,0.16,5.89,0.59,64.02,72.41,13.09,13.11,-0.02,"GA001","GA164",NA,13.1,13.07,0.1,1.27,0.13,11.12,15.02,68.29,68.18,-0.02
"GA001","LA136","GA001","LA136",NA,71.28,71.32,0.12,3.93,0.4,67.83,74.73,10.77,10.84,0.02,"GA001","LA136",NA,10.77,10.79,0.08,1.13,0.11,8.94,12.62,71.17,71.28,0.02
"GA001","LA137","GA001","LA137",NA,72.09,72.16,0.13,4.71,0.46,68.38,75.92,12.43,12.74,0.09,"GA001","LA137",NA,12.57,12.55,0.1,1.68,0.18,10.31,14.8,71.7,72.58,0.09
"GA001","LA143","GA001","LA143",NA,65.77,65.77,0.13,3.38,0.35,62.57,68.91,11.95,11.87,-0.02,"GA001","LA143",NA,11.98,11.98,0.09,1.37,0.12,9.91,13.99,65.82,65.77,-0.02
"GA001","LA144","GA001","LA144",NA,68.44,68.43,0.15,4.38,0.38,64.8,72.08,9.69,10.54,0.17,"GA001","LA144",NA,10.06,10.05,0.1,1.96,0.2,7.61,12.48,67.77,69.02,0.17
"GA001","MD001","GA001","MD001",NA,69.41,69.41,0.18,4.96,0.5,65.54,73.25,10.02,11.25,0.28,"GA001","MD001",NA,10.66,10.64,0.07,1.41,0.09,8.53,12.67,68.25,70.38,0.28
"GA001","MD002","GA001","MD002",NA,70.73,70.7,0.17,4.21,0.41,67.13,74.28,10.12,10.69,0.12,"GA001","MD002",NA,10.43,10.41,0.09,1.67,0.16,8.16,12.62,70.16,70.98,0.12
"GA001","MD033","GA001","MD033",NA,67.56,67.56,0.15,4.13,0.37,64.03,71.09,11.23,12.6,0.29,"GA001","MD033",NA,11.99,11.97,0.11,1.8,0.16,9.66,14.31,66.43,68.63,0.29
"GA001","MD034","GA001","MD034",NA,67.13,67.19,0.14,5.21,0.6,63.19,71.12,9.54,10.23,0.17,"GA001","MD034",NA,9.92,9.9,0.1,1.76,0.15,7.63,12.2,66.7,67.91,0.17
"GA001","NC103","GA001","NC103",NA,70.94,70.93,0.17,4.77,0.62,67.14,74.74,10.13,11.3,0.25,"GA001","NC103",NA,10.67,10.66,0.08,1.68,0.16,8.39,12.9,69.99,71.88,0.25
"GA001","NC104","GA001","NC104",NA,69.16,69.17,0.19,5.68,0.75,65,73.32,12.84,13.42,0.16,"GA001","NC104",NA,13.17,13.15,0.1,1.39,0.14,11.09,15.19,68.53,69.7,0.16
"GA001","NC107","GA001","NC107",NA,69.62,69.6,0.12,4.62,0.44,65.89,73.34,11.55,11,-0.13,"GA001","NC107",NA,11.23,11.24,0.09,1.13,0.12,9.4,13.09,70.01,69.05,-0.13
"GA001","NC108","GA001","NC108",NA,68.33,68.3,0.18,6.57,0.6,63.84,72.78,12.13,12.94,0.19,"GA001","NC108",NA,12.57,12.55,0.1,1.41,0.12,10.46,14.57,67.48,68.97,0.19
"GA001","NC109","GA001","NC109",NA,69.68,69.69,0.15,5,0.58,65.81,73.59,8.77,9.48,0.13,"GA001","NC109",NA,9.1,9.08,0.08,2.17,0.2,6.51,11.59,69.13,70.13,0.13
"GA001","NC120","GA001","NC120",NA,71.78,71.76,0.17,5.65,0.49,67.65,75.89,10.89,11.85,0.2,"GA001","NC120",NA,11.44,11.42,0.11,1.84,0.18,9.03,13.75,70.93,72.5,0.2
