"Par1","Par2","midPar.Pheno","midPar.GEBV","pred.mu","pred.mu_sd","pred.varG","pred.varG_sd","mu.sp_low","mu.sp_high"
"GA001","GA002",NA,67.6,67.66,0.13,3.94,0.29,64.18,71.09
"GA001","GA159",NA,68.88,68.92,0.12,4.9,0.49,65.03,72.71
"GA001","GA164",NA,68.18,68.24,0.18,6.02,0.51,63.95,72.48
"GA001","LA136",NA,71.28,71.32,0.16,4.11,0.42,67.8,74.88
"GA001","LA137",NA,72.09,72.16,0.14,4.74,0.41,68.4,75.92
"GA001","LA143",NA,65.77,65.72,0.12,3.26,0.28,62.54,68.78
"GA001","LA144",NA,68.44,68.48,0.14,4.45,0.46,64.82,72.16
"GA001","MD001",NA,69.41,69.4,0.12,5.14,0.6,65.48,73.33
"GA001","MD002",NA,70.73,70.79,0.16,4.23,0.4,67.27,74.35
"GA001","MD033",NA,67.56,67.58,0.15,3.81,0.32,64.14,70.94
"GA001","MD034",NA,67.13,67.13,0.12,5.1,0.5,63.16,71.01
"GA001","NC103",NA,70.94,71,0.14,4.77,0.45,67.19,74.76
"GA001","NC104",NA,69.16,69.22,0.17,5.61,0.56,65.13,73.38
"GA001","NC107",NA,69.62,69.68,0.16,4.82,0.44,65.79,73.43
"GA001","NC108",NA,68.33,68.37,0.19,6.71,0.67,63.88,72.89
"GA001","NC109",NA,69.68,69.73,0.15,4.95,0.5,65.86,73.6
"GA001","NC120",NA,71.78,71.8,0.15,5.58,0.5,67.69,75.9
"GA001","SC001",NA,71.26,71.29,0.12,3.14,0.37,68.16,74.31
"GA001","SC004",NA,71.77,71.76,0.13,3.76,0.38,68.32,75.07
"GA001","SC005",NA,71.5,71.51,0.13,3.54,0.39,68.22,74.79
"GA001","SC037",NA,71.12,71.16,0.12,3.05,0.32,68.1,74.22
"GA001","TX017",NA,68.6,68.58,0.14,4.77,0.38,64.7,72.32
"GA001","TX018",NA,70.07,70.1,0.11,3.5,0.32,66.84,73.35
"GA001","TX021",NA,71.43,71.42,0.13,4.25,0.41,67.86,75.02
