ID,Yield,TestWt,FDK,DON,StripeRust
LA066,NA,NA,6.859459692,4.138802034,NA
NC071,NA,NA,7.803392591,7.505726681,NA
VA027,NA,NA,9.706823623,6.512142458,NA
AR074,72.09878665,58.10580336,10.63916616,6.673091079,1.740978684
VA009,73.26301277,57.23162447,10.77916616,7.383091079,1.368725173
VA107,NA,NA,11.03672592,8.539060014,NA
VA110,NA,NA,12.28672592,7.805726681,NA
GA171,NA,NA,12.75083282,6.483091079,NA
LA065,NA,NA,12.89877601,3.948802034,NA
SC007,62.72568566,57.51365556,13.18682362,4.858809125,1.415832342
AR075,58.04507466,57.92890087,13.19583282,5.713091079,1.368725173
MD021,NA,NA,13.19829965,1.524811955,NA
SC003,76.44438905,58.65699661,13.24015696,5.642142458,0.218687463
AR111,NA,NA,13.82940979,9.339060014,NA
GA147,NA,NA,13.99227893,7.731874345,NA
VA147,NA,NA,14.25133282,9.533091079,NA
AR108,NA,NA,14.75339259,7.505726681,NA
GA008,NA,NA,14.79949546,6.752717785,NA
VA012,NA,NA,14.86199949,8.933091079,NA
LA130,NA,NA,15.18600893,5.312842217,NA
MD012,NA,NA,15.44480043,3.692195456,NA
AR010,NA,NA,15.45339259,9.005726681,NA
VA146,70.11073256,58.13998085,15.46616213,7.002717785,0.704591261
LA131,NA,NA,15.57727324,4.502717785,NA
MD036,NA,NA,15.62015696,4.845475792,NA
AR107,NA,NA,16.26980043,3.968862123,NA
VA128,68.57397165,59.34505724,16.37644979,5.403991423,1.034710929
MO001,NA,NA,16.37844782,6.314594978,NA
VA005,NA,NA,16.38916616,7.883091079,NA
SC009,NA,NA,16.4587679,8.33451834,NA
VA145,72.23683381,58.89471527,16.46616213,6.002717785,0.474180488
NC081,NA,NA,16.92085036,5.919374345,NA
GA157,NA,NA,16.9637075,4.956874345,NA
NC003,NA,NA,16.98313376,6.292195456,NA
GA138,NA,NA,17.20656465,6.081874345,NA
GA084,NA,NA,17.22813376,11.49219546,NA
GA176,79.10429466,58.24140087,17.27799949,10.08309108,1.368725173
MD024,NA,NA,17.45339259,7.139060014,NA
LA108,NA,NA,17.52916616,6.883091079,NA
VA007,72.78918996,57.0858868,17.79992811,7.391293263,3.368725173
VA008,67.91350415,59.01007752,18.35505102,6.502717785,2.250656167
NC079,62.95962552,59.144334,18.37730357,3.931901689,2.543240304
AR066,59.98694216,58.45390087,18.61199949,7.783091079,1.368725173
LA109,70.02738228,58.13453127,18.79992811,7.05795993,3.289288169
MD011,NA,NA,18.90646709,7.125528789,NA
NC083,62.20538722,57.81939969,19.09462274,7.460455068,4.218064783
GA149,NA,NA,19.16749949,9.583091079,NA
MD023,NA,NA,19.25339259,7.339060014,NA
AR110,NA,NA,19.28829965,8.624811955,NA
MO002,NA,NA,19.45895777,7.092036838,NA
AR106,NA,NA,19.53146709,3.342195456,NA
VA002,67.38130292,54.38552594,19.57799322,9.969374345,0.376578309
AR109,NA,NA,19.62163299,7.774811955,NA
NC103,72.63684214,58.33132347,19.86079178,6.576663733,0.642880749
VA020,70.55809747,56.217591,19.87682362,6.472142458,2.658305127
LA141,67.57581466,57.36640087,19.91749949,6.833091079,1.368725173
MD010,NA,NA,20.06146709,6.008862123,NA
SC019,70.53493829,57.54704907,20.12125371,3.620608987,1.195668521
NC118,62.23507549,57.64380308,20.14345742,8.064401689,3.812838155
NC088,NA,NA,20.22249949,7.833091079,NA
