"Parent1","Parent2","Yield_param.df.Par1","Yield_param.df.Par2","Yield_param.df.midPar.Pheno","Yield_param.df.midPar.GEBV","Yield_param.df.pred.mu","Yield_param.df.pred.mu_sd","Yield_param.df.pred.varG","Yield_param.df.pred.varG_sd","Yield_param.df.mu.sp_low","Yield_param.df.mu.sp_high","Yield_param.df.low.resp_DON","Yield_param.df.high.resp_DON","Yield_param.df.cor_w._DON","DON_param.df.Par1","DON_param.df.Par2","DON_param.df.midPar.Pheno","DON_param.df.midPar.GEBV","DON_param.df.pred.mu","DON_param.df.pred.mu_sd","DON_param.df.pred.varG","DON_param.df.pred.varG_sd","DON_param.df.mu.sp_low","DON_param.df.mu.sp_high","DON_param.df.low.resp_Yield","DON_param.df.high.resp_Yield","DON_param.df.cor_w._Yield"
"GA001","GA002","GA001","GA002",NA,69.43,69.4,0.23,7.9,0.82,64.57,74.27,7.37,9.66,0.37,"GA001","GA002",NA,8.52,8.5,0.11,3.19,0.42,5.35,11.58,67.61,71.17,0.37
"GA001","GA159","GA001","GA159",NA,72.12,72.1,0.18,4.33,0.37,68.5,75.75,13.17,13.47,0.06,"GA001","GA159",NA,13.38,13.35,0.09,1.86,0.21,11.02,15.73,71.89,72.35,0.06
"GA001","GA164","GA001","GA164",NA,70.09,70.08,0.23,6.78,0.64,65.58,74.59,12.29,12.62,0.05,"GA001","GA164",NA,12.55,12.51,0.09,2.04,0.23,10.04,15,69.82,70.23,0.05
"GA001","LA136","GA001","LA136",NA,73.86,73.84,0.13,3.11,0.29,70.76,76.9,9.66,10.68,0.19,"GA001","LA136",NA,10.22,10.21,0.08,2.37,0.16,7.55,12.89,73.23,74.36,0.19
"GA001","LA137","GA001","LA137",NA,72.01,71.99,0.2,5,0.55,68.14,75.91,12.34,13.17,0.17,"GA001","LA137",NA,12.82,12.8,0.08,1.96,0.22,10.38,15.24,71.47,72.63,0.17
"GA001","LA143","GA001","LA143",NA,71.71,71.7,0.18,4.81,0.36,68,75.52,12.24,12.29,0.01,"GA001","LA143",NA,12.32,12.33,0.08,1.24,0.12,10.39,14.26,71.67,71.72,0.01
"GA001","LA144","GA001","LA144",NA,70.56,70.52,0.19,8.23,0.74,65.55,75.44,9.94,11.43,0.29,"GA001","LA144",NA,10.69,10.67,0.08,2.23,0.22,8.09,13.26,68.99,71.78,0.29
"GA001","MD001","GA001","MD001",NA,70.05,70.05,0.16,5.29,0.62,66.02,74,9.8,11.66,0.35,"GA001","MD001",NA,10.74,10.73,0.09,2.02,0.19,8.27,13.21,68.59,71.44,0.35
"GA001","MD002","GA001","MD002",NA,71.02,71.02,0.18,5.96,0.5,66.74,75.23,10.98,11.65,0.13,"GA001","MD002",NA,11.2,11.19,0.1,2.27,0.24,8.55,13.78,70.28,71.59,0.13
"GA001","MD033","GA001","MD033",NA,72.48,72.48,0.2,6.95,0.72,67.88,77.04,12.17,13.69,0.29,"GA001","MD033",NA,12.97,12.94,0.09,2.28,0.24,10.31,15.54,71.18,73.8,0.29
