"Par1","Par2","midPar.Pheno","midPar.GEBV","pred.mu","pred.mu_sd","pred.varG","pred.varG_sd","mu.sp_low","mu.sp_high"
"GA001","GA002",NA,69.05,69.02,0.18,6.97,0.61,64.42,73.51
"GA001","GA159",NA,69.74,69.7,0.19,6.92,0.58,65.11,74.25
"GA001","GA164",NA,71.01,70.98,0.18,6.68,0.6,66.49,75.43
"GA001","LA136",NA,73.35,73.33,0.2,7.46,0.86,68.69,78.12
"GA001","LA137",NA,72.21,72.17,0.25,6.67,0.47,67.69,76.66
"GA001","LA143",NA,70.37,70.33,0.15,5.76,0.44,66.27,74.53
"GA001","LA144",NA,72.59,72.56,0.13,6.51,0.71,68.08,76.97
"GA001","MD001",NA,71.15,71.14,0.17,6.3,0.57,66.79,75.54
"GA001","MD002",NA,71.69,71.65,0.17,7.85,0.67,66.84,76.62
"GA001","MD033",NA,71.8,71.78,0.17,8.21,0.7,66.85,76.85
"GA001","MD034",NA,68.31,68.26,0.16,5.22,0.46,64.32,72.28
"GA001","NC103",NA,72.99,72.95,0.18,8.07,0.65,68.04,77.85
"GA001","NC104",NA,70.63,70.56,0.21,7.25,0.68,65.89,75.27
"GA001","NC107",NA,71.4,71.37,0.17,4.83,0.37,67.49,75.2
"GA001","NC108",NA,69.83,69.76,0.2,8.55,0.85,64.7,74.85
"GA001","NC109",NA,72.75,72.73,0.18,6.2,0.65,68.34,77.01
"GA001","NC120",NA,73.13,73.12,0.13,5.5,0.46,69.11,77.22
"GA001","SC001",NA,72.53,72.52,0.12,4.23,0.41,68.9,76.09
"GA001","SC004",NA,71.94,71.93,0.18,5.46,0.59,67.91,76.01
"GA001","SC005",NA,73.71,73.69,0.14,4.64,0.41,69.89,77.35
"GA001","SC037",NA,74.5,74.51,0.17,7.21,0.71,69.82,79.15
"GA001","TX017",NA,69.5,69.47,0.15,6.35,0.61,65.07,73.84
"GA001","TX018",NA,70.92,70.91,0.15,6.9,0.76,66.37,75.47
"GA001","TX021",NA,72.14,72.14,0.16,4.3,0.39,68.56,75.73
"GA001","TX023",NA,75.36,75.33,0.13,5.33,0.52,71.33,79.29
"GA001","VA028",NA,72.76,72.79,0.2,6.94,0.54,68.19,77.35
"GA001","VA029",NA,72.48,72.45,0.19,6.28,0.6,68.07,76.8
"GA001","VA031",NA,72.02,72.02,0.15,6.14,0.52,67.69,76.28
"GA001","VA157",NA,72.5,72.49,0.17,5.93,0.53,68.2,76.71
"GA002","GA159",NA,65.75,65.72,0.16,7.84,0.71,60.98,70.64
"GA002","GA164",NA,67.02,67,0.18,8.16,0.58,62.11,72.02
"GA002","LA136",NA,69.36,69.36,0.22,8.68,0.9,64.37,74.51
"GA002","LA137",NA,68.21,68.19,0.22,8.9,0.81,63.08,73.39
"GA002","LA143",NA,66.38,66.39,0.17,7.64,0.81,61.6,71.16
"GA002","LA144",NA,68.6,68.6,0.18,8.06,0.89,63.78,73.56
"GA002","MD001",NA,67.16,67.15,0.17,8.63,0.88,62.08,72.25
"GA002","MD002",NA,67.7,67.7,0.18,7.25,0.74,63.04,72.39
"GA002","MD033",NA,67.81,67.81,0.19,8.38,0.85,62.77,72.79
"GA002","MD034",NA,64.32,64.29,0.18,5.65,0.51,60.21,68.43
"GA002","NC103",NA,69,68.97,0.19,7.66,0.88,64.21,73.78
"GA002","NC104",NA,66.64,66.6,0.16,7.16,0.65,62.02,71.31
"GA002","NC107",NA,67.41,67.41,0.17,7.33,0.82,62.78,72.15
"GA002","NC108",NA,65.84,65.79,0.16,7.79,0.91,60.98,70.67
"GA002","NC109",NA,68.76,68.75,0.17,7.62,0.87,64.04,73.58
"GA002","NC120",NA,69.14,69.14,0.16,7.58,0.78,64.42,73.96
"GA002","SC001",NA,68.54,68.57,0.16,9.46,1.01,63.28,73.92
"GA002","SC004",NA,67.95,67.95,0.19,7.11,0.63,63.37,72.55
"GA002","SC005",NA,69.72,69.71,0.2,6.54,0.66,65.32,74.15
"GA002","SC037",NA,70.51,70.52,0.21,7.42,0.72,65.84,75.28
"GA002","TX017",NA,65.51,65.47,0.18,5.6,0.51,61.46,69.63
"GA002","TX018",NA,66.93,66.9,0.16,9.29,0.94,61.69,72.18
"GA002","TX021",NA,68.15,68.15,0.17,6.16,0.67,63.89,72.52
"GA002","TX023",NA,71.37,71.36,0.2,9.25,0.82,66.14,76.62
"GA002","VA028",NA,68.77,68.81,0.17,6.62,0.78,64.43,73.25
"GA002","VA029",NA,68.49,68.47,0.18,9.1,0.85,63.25,73.67
"GA002","VA031",NA,68.03,68.06,0.12,4.34,0.5,64.43,71.61
"GA002","VA157",NA,68.51,68.53,0.17,8.15,0.89,63.65,73.53
"GA159","GA164",66.26,67.71,67.71,0.12,3.55,0.29,64.44,70.98
"GA159","LA136",67.78,70.05,70.08,0.17,6.54,0.73,65.68,74.51
"GA159","LA137",69.85,68.91,68.91,0.17,5.13,0.47,64.95,72.8
"GA159","LA143",NA,67.08,67.06,0.18,7.47,0.65,62.27,71.77
"GA159","LA144",NA,69.29,69.3,0.18,6.49,0.72,64.89,73.69
"GA159","MD001",NA,67.85,67.87,0.15,4.95,0.4,64.02,71.76
"GA159","MD002",NA,68.4,68.41,0.13,5.62,0.58,64.29,72.53
"GA159","MD033",NA,68.5,68.51,0.16,6.47,0.68,64.09,72.93
"GA159","MD034",NA,65.01,65.01,0.16,7.04,0.76,60.46,69.63
"GA159","NC103",66.65,69.69,69.69,0.16,4.95,0.38,65.75,73.49
"GA159","NC104",67.76,67.33,67.32,0.15,5.16,0.54,63.37,71.34
"GA159","NC107",66.41,68.11,68.12,0.17,5.65,0.62,63.99,72.24
"GA159","NC108",69.55,66.53,66.49,0.17,6.04,0.59,62.17,70.74
"GA159","NC109",65.95,69.45,69.48,0.15,7.29,0.66,64.81,74.18
"GA159","NC120",67.91,69.84,69.85,0.22,8,0.57,64.9,74.71
"GA159","SC001",72.44,69.24,69.26,0.16,9.54,0.86,63.83,74.55
"GA159","SC004",70.57,68.64,68.67,0.21,7.13,0.62,64.05,73.3
"GA159","SC005",66.56,70.41,70.42,0.25,9.19,0.84,65.16,75.64
"GA159","SC037",69.66,71.2,71.27,0.14,8.07,0.89,66.32,76.21
"GA159","TX017",65.41,66.2,66.19,0.13,5.62,0.58,62.07,70.3
"GA159","TX018",67.71,67.62,67.64,0.13,5.79,0.49,63.46,71.84
"GA159","TX021",68.47,68.85,68.88,0.13,5.42,0.58,64.84,72.9
"GA159","TX023",72.67,72.06,72.09,0.22,7.34,0.59,67.34,76.77
"GA159","VA028",NA,69.47,69.53,0.12,5.83,0.56,65.33,73.71
"GA159","VA029",NA,69.19,69.19,0.12,4.71,0.28,65.37,72.93
"GA159","VA031",NA,68.72,68.76,0.22,6.74,0.65,64.28,73.29
"GA159","VA157",NA,69.2,69.24,0.18,7.25,0.83,64.49,73.86
"GA164","LA136",73.37,71.32,71.33,0.15,5.25,0.59,67.36,75.33
"GA164","LA137",75.44,70.17,70.17,0.16,4.45,0.43,66.49,73.79
